1,"Luys Milán: El Maestro"
2,"Luys de Narváez: Los seys libros del Delphín"
3,"Alonso Mudarra: Tres libros de música"
4,"Enríquez de Valderrábano: Silva de sirenas"
5,"Diego Pisador: Libro de música"
6,"Miguel de Fuenllana: Orphenica lyra"
7,"Esteban Daza: El Parnasso"
8,"Ramillete de flores MS"
9,"A-Wn Silva de sirenas MS"
